Adapter,Driver,Adapter-Driver,Good Sum,Critical Sum,Warning Sum,Client Count,Total Sum,Good Roaming Calculation (%)
Intel(R) Wi-Fi 6 AX201 160MHz #2,22.60.0.6,Intel(R) Wi-Fi 6 AX201 160MHz #2 - 22.60.0.6,253,1,0,2,254,99.6%
Intel(R) Wi-Fi 6 AX201 160MHz,22.230.0.8,Intel(R) Wi-Fi 6 AX201 160MHz - 22.230.0.8,19338,76,0,24,19414,99.6%
Intel(R) Wireless-AC 9560 160MHz,23.120.0.3,Intel(R) Wireless-AC 9560 160MHz - 23.120.0.3,42115,181,0,30,42296,99.6%
Intel(R) Wi-Fi 6E AX211 160MHz,23.10.0.8,Intel(R) Wi-Fi 6E AX211 160MHz - 23.10.0.8,2018,8,0,3,2026,99.6%
Intel(R) Wi-Fi 6E AX211 160MHz,23.140.0.3,Intel(R) Wi-Fi 6E AX211 160MHz - 23.140.0.3,961765,3649,0,693,965414,99.6%
Intel(R) Wi-Fi 6E AX211 160MHz,23.90.0.2,Intel(R) Wi-Fi 6E AX211 160MHz - 23.90.0.2,38537,164,0,89,38701,99.6%
Intel(R) Wi-Fi 6E AX211 160MHz,23.80.0.7,Intel(R) Wi-Fi 6E AX211 160MHz - 23.80.0.7,41625,157,0,31,41782,99.6%
Intel(R) Wi-Fi 6 AX200 160MHz,22.0.1.5,Intel(R) Wi-Fi 6 AX200 160MHz - 22.0.1.5,875,4,0,2,879,99.5%
Intel(R) Wi-Fi 6E AX211 160MHz,23.40.0.4,Intel(R) Wi-Fi 6E AX211 160MHz - 23.40.0.4,4182,22,0,8,4204,99.5%
Intel(R) Wi-Fi 6E AX211 160MHz #2,23.140.2.1,Intel(R) Wi-Fi 6E AX211 160MHz #2 - 23.140.2.1,3899,19,0,11,3918,99.5%
Intel(R) Wi-Fi 6E AX210 160MHz,23.110.0.5,Intel(R) Wi-Fi 6E AX210 160MHz - 23.110.0.5,4160,23,0,5,4183,99.5%
Intel(R) Wi-Fi 6 AX201 160MHz #3,22.200.2.1,Intel(R) Wi-Fi 6 AX201 160MHz #3 - 22.200.2.1,2135,10,0,10,2145,99.5%
Intel(R) Wi-Fi 6 AX201 160MHz #2,23.150.0.4,Intel(R) Wi-Fi 6 AX201 160MHz #2 - 23.150.0.4,1794,9,0,2,1803,99.5%
Intel(R) Wi-Fi 6 AX201 160MHz,23.20.1.1,Intel(R) Wi-Fi 6 AX201 160MHz - 23.20.1.1,13814,73,0,28,13887,99.5%
Intel(R) Wi-Fi 6 AX201 160MHz #2,22.250.1.2,Intel(R) Wi-Fi 6 AX201 160MHz #2 - 22.250.1.2,408,2,0,2,410,99.5%
Intel(R) Wi-Fi 6E AX211 160MHz #2,23.110.0.5,Intel(R) Wi-Fi 6E AX211 160MHz #2 - 23.110.0.5,7456,41,0,27,7497,99.5%
Intel(R) Wi-Fi 6 AX201 160MHz #2,22.190.0.4,Intel(R) Wi-Fi 6 AX201 160MHz #2 - 22.190.0.4,4331,23,0,19,4354,99.5%
Intel(R) Dual Band Wireless-AC 8260,20.10.0.6,Intel(R) Dual Band Wireless-AC 8260 - 20.10.0.6,1427,8,0,1,1435,99.4%
Intel(R) Wi-Fi 6 AX201 160MHz #3,23.110.0.5,Intel(R) Wi-Fi 6 AX201 160MHz #3 - 23.110.0.5,17295,96,0,60,17391,99.4%
Intel(R) Wi-Fi 6E AX211 160MHz,23.130.1.1,Intel(R) Wi-Fi 6E AX211 160MHz - 23.130.1.1,15744,100,0,27,15844,99.4%
Intel(R) Dual Band Wireless-AC 8265,20.70.12.5,Intel(R) Dual Band Wireless-AC 8265 - 20.70.12.5,3098,18,0,2,3116,99.4%
Intel(R) Wi-Fi 6 AX200 160MHz,21.40.2.2,Intel(R) Wi-Fi 6 AX200 160MHz - 21.40.2.2,353,2,0,3,355,99.4%
Intel(R) Wi-Fi 6E AX211 160MHz,23.110.0.5,Intel(R) Wi-Fi 6E AX211 160MHz - 23.110.0.5,421292,2702,0,379,423994,99.4%
Intel(R) Wi-Fi 6E AX211 160MHz #2,23.150.0.4,Intel(R) Wi-Fi 6E AX211 160MHz #2 - 23.150.0.4,2125,12,0,9,2137,99.4%
Intel(R) Wi-Fi 6E AX211 160MHz,22.250.10.1,Intel(R) Wi-Fi 6E AX211 160MHz - 22.250.10.1,5951,35,0,15,5986,99.4%
Intel(R) Wi-Fi 6 AX200 160MHz,23.40.0.4,Intel(R) Wi-Fi 6 AX200 160MHz - 23.40.0.4,1862,14,0,4,1876,99.3%
Intel(R) Wi-Fi 6E AX211 160MHz,23.140.2.1,Intel(R) Wi-Fi 6E AX211 160MHz - 23.140.2.1,185633,1281,0,227,186914,99.3%
Intel(R) Wi-Fi 6E AX211 160MHz,23.60.1.2,Intel(R) Wi-Fi 6E AX211 160MHz - 23.60.1.2,81957,598,0,104,82555,99.3%
Intel(R) Wi-Fi 6 AX201 160MHz #2,23.30.0.6,Intel(R) Wi-Fi 6 AX201 160MHz #2 - 23.30.0.6,1807,13,0,4,1820,99.3%
